ENSG00000106245	BUD31
ENSG00000013441	CLK1
ENSG00000101452	DHX35
ENSG00000082516	GEMIN5
ENSG00000165119	HNRNPK
ENSG00000152601	MBNL1
ENSG00000090097	PCBP4
ENSG00000100320	RBFOX2
ENSG00000136450	SRSF1
ENSG00000188529	SRSF10
ENSG00000116754	SRSF11
ENSG00000154548	SRSF12
ENSG00000112081	SRSF3
ENSG00000116350	SRSF4
ENSG00000100650	SRSF5
ENSG00000124193	SRSF6
ENSG00000115875	SRSF7
ENSG00000180771	SRSF8
ENSG00000160201	U2AF1
ENSG00000161265	U2AF1L4
ENSG00000063244	U2AF2
ENSG00000116455	WDR77
ENSG00000123154	WDR83
ENSG00000146457	WTAP
